run_name,run_dir,project.run_name,project.output_dir,project.seed,project.device,project.num_workers,project.save_features,project.save_models,project.save_plots,project.run_dir_mode,project.reuse_existing_run,dataset.name,dataset.root,dataset.download,dataset.fixed_subset,dataset.split_dir,dataset.regenerate_subset,dataset.train_size,dataset.test_size,dataset.train_batch_size,dataset.eval_batch_size,dataset.normalize,dataset.mean,dataset.std,dataset.augment_train,dataset.random_crop_padding,dataset.random_horizontal_flip,dataset.random_affine_degrees,dataset.random_translate,dataset.pin_memory,feature.kind,feature.scale_before_cluster,feature.pca.n_components,feature.pca.whiten,feature.ae.model_type,feature.ae.latent_dim,feature.ae.hidden_dims,feature.ae.lr,feature.ae.weight_decay,feature.ae.epochs,feature.ae.loss,feature.cnn.arch,feature.cnn.channels,feature.cnn.embedding_dim,feature.cnn.dropout,feature.cnn.use_batchnorm,feature.cnn.training_type,feature.cnn.lr,feature.cnn.weight_decay,feature.cnn.epochs,feature.cnn.optimizer,clustering.method,clustering.n_clusters,clustering.kmeans.n_init,clustering.kmeans.max_iter,clustering.gmm.covariance_type,clustering.gmm.n_init,clustering.gmm.reg_covar,clustering.gmm.max_iter,evaluation.silhouette_sample_size,visualization.dataset_overview.enabled,visualization.dataset_overview.shared,visualization.dataset_overview.output_dir,visualization.dataset_overview.sample_count,visualization.dataset_overview.cols,visualization.feature_pca2.enabled,visualization.feature_pca2.splits,visualization.max_points_2d,visualization.cluster_samples_per_cluster,visualization.max_clusters_to_plot,visualization.mapped_class_grid.enabled,visualization.mapped_class_grid.split,visualization.mapped_class_grid.samples_per_class,visualization.mapped_class_grid.cols,visualization.tsne.enabled,visualization.tsne.sample_size,visualization.tsne.perplexity,batch.auto_compare,batch.continue_on_error,ARI,NMI,purity,silhouette,train_ARI,train_NMI,train_purity,train_silhouette,feature.foundation.provider,feature.foundation.model,feature.foundation.input_size
kmnist_cnn256_wide_do025_kmeans,outputs\runs\kmnist_cnn256_wide_do025_kmeans,kmnist_cnn256_wide_do025_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,True,0.0,False,10.0,0.1,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[64, 128, 256]",256,0.25,True,supervised_classifier,0.001,0.0001,12,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.588575112602654,0.7225372819373985,0.7793333333333333,0.1922728568315506,0.8332447732389338,0.8742631200862276,0.9195,0.29318955540657043,,,
cifar10_resnet18_e20_kmeans,outputs\runs\cifar10_resnet18_e20_kmeans,cifar10_resnet18_e20_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.36418973498796164,0.554348036807388,0.629,0.21767957508563995,0.42854949434913736,0.6096513793579994,0.67325,0.24741661548614502,,,
cifar10_cnn256_wide_aug_kmeans,outputs\runs\cifar10_cnn256_wide_aug_kmeans,cifar10_cnn256_wide_aug_kmeans,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,12000,3000,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[64, 128, 256]",256,0.25,True,supervised_classifier,0.001,0.0001,20,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.35273253275886024,0.5176586566474475,0.632,0.1340036690235138,0.43034895056600353,0.5861770891452448,0.6884166666666667,0.13411188125610352,,,
cifar10_resnet18_e20_gmm_full,outputs\runs\cifar10_resnet18_e20_gmm_full,cifar10_resnet18_e20_gmm_full,outputs,42,auto,0,True,True,True,name,True,CIFAR10,data,True,True,splits,False,0,0,128,256,True,,,True,4.0,True,0.0,0.0,True,cnn,True,50,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,resnet18,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.05,0.0005,20,sgd,gmm,10,50,500,diag,3,0.0001,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.31776189324018866,0.5578414849720821,0.5434,0.16539785265922546,0.3421139530863203,0.582592411205628,0.56066,0.17947918176651,,,
kmnist_pca10_kmeans,outputs\runs\kmnist_pca10_kmeans,kmnist_pca10_kmeans,outputs,42,auto,0,True,True,True,name,False,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,10,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.15528503349941689,0.2833729441833108,0.401,0.12949618697166443,0.3129963301962286,0.4304359960936164,0.53925,0.17083534598350525,,,
kmnist_pca20_kmeans,outputs\runs\kmnist_pca20_kmeans,kmnist_pca20_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,pca,True,20,False,mlp,16,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.14726125054003536,0.28225966814109377,0.389,0.06732604652643204,0.3136959215212572,0.43382976958252506,0.54325,0.084366075694561,,,
kmnist_ae256_e5_kmeans,outputs\runs\kmnist_ae256_e5_kmeans,kmnist_ae256_e5_kmeans,outputs,42,auto,0,True,True,True,name,False,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,10,False,mlp,256,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,True,1500,30,True,True,0.1350600278839249,0.29917615218932603,0.41333333333333333,0.16250301897525787,0.27351564344556617,0.4255940852788504,0.5348333333333334,0.17347770929336548,,,
kmnist_ae512_e5_kmeans,outputs\runs\kmnist_ae512_e5_kmeans,kmnist_ae512_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,512,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.12681800509440794,0.2875846663719476,0.407,0.1468460112810135,0.2691974573300625,0.40857890910720884,0.52925,0.1595470905303955,,,
kmnist_ae128_e5_kmeans,outputs\runs\kmnist_ae128_e5_kmeans,kmnist_ae128_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,128,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.11902473076890623,0.26763273883369737,0.392,0.1375671923160553,0.27440849004872425,0.40375896758684826,0.5291666666666667,0.17061538994312286,,,
kmnist_ae4_e5_kmeans,outputs\runs\kmnist_ae4_e5_kmeans,kmnist_ae4_e5_kmeans,outputs,42,auto,0,True,True,True,name,True,KMNIST,data,True,True,splits,False,12000,3000,128,256,False,,,False,0.0,False,0.0,0.0,True,ae,True,50,False,mlp,4,"[256, 64]",0.001,0.0,5,mse,small_cnn,"[32, 64, 128]",128,0.0,True,supervised_classifier,0.001,0.0,5,adam,kmeans,10,50,500,diag,3,1e-06,300,2000,True,True,outputs/shared_dataset_views,40,10,True,"['train', 'test']",2000,12,10,True,test,40,10,False,1500,30,True,True,0.11457388072068456,0.24046378915324898,0.36033333333333334,0.22439193725585938,0.23495468675002723,0.3679623619745454,0.5016666666666667,0.2328929752111435,,,
